quarter_start__date,quarter_label,transactions_total__LR__count,price_avg__LR__gbp,price_median__LR__gbp,price_min__LR__gbp,price_max__LR__gbp,boe_house_purchase__LPMVTVX__count,boe_remortgage__LPMB4B3__count,boe_total_secured_lending__LPMB3C8__count,boe_mfi_total_approvals__LPMZ3UP__count,mlar_gross_advances__MLAR_1_21_C_1__gbp,mlar_net_advances__MLAR_1_21_C_2__gbp,mlar_new_commitments__MLAR_1_21_C_3__gbp,mlar_imp_repayment__MLAR_1_32_C_3__pct,mlar_imp_interest_only__MLAR_1_32_C_4__pct,mlar_new_house_purchase__MLAR_1_33_C_29__gbp,mlar_new_remortgage__MLAR_1_33_C_30__gbp
2006-04-01,2006Q2,332188,199564.67,164500.00,840.00,8935000.00,114886.0000000000000000000000,97004.3333333333333333333333,286503.0000000000000000000000,243613.6666666666666666666667,,,,,,,
2006-07-01,2006Q3,365679,211029.07,170000.00,100.00,12400000.00,119792.6666666666666666666667,99167.0000000000000000000000,294688.0000000000000000000000,244895.0000000000000000000000,,,,,,,
2006-10-01,2006Q4,364617,207451.44,170000.00,10000.00,9585000.00,124467.6666666666666666666667,104123.3333333333333333333333,307181.3333333333333333333333,249321.3333333333333333333333,,,,,,,
2007-01-01,2007Q1,289667,210246.76,169950.00,300.00,14000000.00,117389.3333333333333333333333,102934.3333333333333333333333,295837.0000000000000000000000,240752.0000000000000000000000,73139020000.000000000000000000,48686784000.000000000000000000,78153808000.000000000000000000,3.745,2.120,47253000.000000000000000000,45909000.000000000000000000
2007-04-01,2007Q2,337433,215867.21,175000.00,200.00,13000000.00,112617.0000000000000000000000,102687.6666666666666666666667,288223.6666666666666666666667,235793.3333333333333333333333,81996015000.000000000000000000,50445319000.000000000000000000,90783695000.000000000000000000,3.786,2.445,50575000.000000000000000000,43028000.000000000000000000
2007-07-01,2007Q3,350330,228961.34,180000.00,1000.00,15250000.00,106608.3333333333333333333333,103242.6666666666666666666667,276892.6666666666666666666667,226049.3333333333333333333333,86174401000.000000000000000000,52490073000.000000000000000000,84547339000.000000000000000000,4.016,2.591,51522000.000000000000000000,42277000.000000000000000000
2007-10-01,2007Q4,295026,221027.80,179000.00,422.00,17000000.00,80006.3333333333333333333333,92572.6666666666666666666667,231504.6666666666666666666667,198859.0000000000000000000000,72284006000.000000000000000000,37963642000.000000000000000000,62764466000.000000000000000000,3.599,2.583,49137000.000000000000000000,44599000.000000000000000000
2008-01-01,2008Q1,183472,218130.57,173000.00,698.00,16800000.00,67625.6666666666666666666667,105136.3333333333333333333333,228721.6666666666666666666667,208460.0000000000000000000000,61301074000.000000000000000000,30531320000.000000000000000000,62023741000.000000000000000000,2.643,2.558,36195000.000000000000000000,56274000.000000000000000000
2008-04-01,2008Q2,192832,219340.88,175000.00,470.00,23500000.00,44346.0000000000000000000000,91431.3333333333333333333333,181360.0000000000000000000000,165475.3333333333333333333333,61027598000.000000000000000000,28404699000.000000000000000000,61001377000.000000000000000000,2.367,2.497,38140000.000000000000000000,54552000.000000000000000000
2008-07-01,2008Q3,147399,223744.09,173000.00,200.00,15000000.00,32652.6666666666666666666667,68713.6666666666666666666667,140712.3333333333333333333333,134097.0000000000000000000000,54143759000.000000000000000000,21177008000.000000000000000000,44795610000.000000000000000000,1.695,2.433,32874000.000000000000000000,59816000.000000000000000000
2008-10-01,2008Q4,125994,204626.76,161000.00,450.00,53803654.00,29867.0000000000000000000000,49413.3333333333333333333333,111375.0000000000000000000000,108134.3333333333333333333333,39845501000.000000000000000000,14441386000.000000000000000000,33943607000.000000000000000000,0.990,2.437,34233000.000000000000000000,57572000.000000000000000000
2009-01-01,2009Q1,93269,197983.20,156000.00,425.00,12500000.00,38427.6666666666666666666667,31971.0000000000000000000000,102453.3333333333333333333333,99192.0000000000000000000000,29713315000.000000000000000000,8230153000.000000000000000000,26857956000.000000000000000000,0.744,2.415,33561000.000000000000000000,55517000.000000000000000000
2009-04-01,2009Q2,141911,203202.49,162500.00,1000.00,12200000.00,47850.6666666666666666666667,32634.6666666666666666666667,109442.0000000000000000000000,105941.6666666666666666666667,30896525000.000000000000000000,11246935000.000000000000000000,36556706000.000000000000000000,0.438,2.356,48527000.000000000000000000,41571000.000000000000000000
2009-07-01,2009Q3,182311,222990.64,174950.00,275.00,8250000.00,53877.0000000000000000000000,28801.0000000000000000000000,109952.0000000000000000000000,107872.3333333333333333333333,37430923000.000000000000000000,12382571000.000000000000000000,36142743000.000000000000000000,0.344,2.198,55497000.000000000000000000,36042000.000000000000000000
2009-10-01,2009Q4,207866,218915.82,172000.00,2000.00,13800000.00,57061.3333333333333333333333,24836.0000000000000000000000,109146.3333333333333333333333,104441.3333333333333333333333,38200225000.000000000000000000,13233355000.000000000000000000,33306404000.000000000000000000,0.336,2.266,60529000.000000000000000000,31618000.000000000000000000
2010-01-01,2010Q1,131469,233884.02,182500.00,3381.00,16000000.00,47860.6666666666666666666667,26735.6666666666666666666667,99670.3333333333333333333333,94961.0000000000000000000000,29393162000.000000000000000000,8717498000.000000000000000000,31014551000.000000000000000000,0.366,2.189,55489000.000000000000000000,35714000.000000000000000000
2010-04-01,2010Q2,169284,230799.46,180000.00,100.00,12000000.00,49916.3333333333333333333333,26977.6666666666666666666667,101900.3333333333333333333333,98422.0000000000000000000000,33366090000.000000000000000000,10320634000.000000000000000000,37571878000.000000000000000000,0.404,2.178,59136000.000000000000000000,32562000.000000000000000000
2010-07-01,2010Q3,188591,246016.58,186000.00,2000.00,15500000.00,47592.3333333333333333333333,27992.0000000000000000000000,99522.0000000000000000000000,94657.0000000000000000000000,37621350000.000000000000000000,12811972000.000000000000000000,35137046000.000000000000000000,0.376,2.110,61792000.000000000000000000,30414000.000000000000000000
2010-10-01,2010Q4,173981,232181.69,179995.00,4880.00,16200000.00,44909.3333333333333333333333,30783.6666666666666666666667,97255.6666666666666666666667,90393.6666666666666666666667,33413235000.000000000000000000,6635142000.000000000000000000,31441401000.000000000000000000,0.333,2.067,58066000.000000000000000000,33947000.000000000000000000
2011-01-01,2011Q1,125621,234328.39,173000.00,160.00,21000000.00,46247.3333333333333333333333,34682.3333333333333333333333,101375.0000000000000000000000,94173.0000000000000000000000,29644368000.000000000000000000,5153652000.000000000000000000,31769440000.000000000000000000,0.334,2.013,50337000.000000000000000000,41975000.000000000000000000
2011-04-01,2011Q2,159266,227696.08,175000.00,100.00,13000000.00,47509.0000000000000000000000,29808.3333333333333333333333,97670.6666666666666666666667,91823.3333333333333333333333,32788210000.000000000000000000,10453902000.000000000000000000,35527608000.000000000000000000,0.361,1.985,55763000.000000000000000000,36901000.000000000000000000
2011-07-01,2011Q3,192353,240548.44,180000.00,1171.00,19250000.00,51572.6666666666666666666667,32889.3333333333333333333333,105393.0000000000000000000000,98483.6666666666666666666667,39171909000.000000000000000000,9917534000.000000000000000000,37586351000.000000000000000000,0.374,1.992,57394000.000000000000000000,35912000.000000000000000000
2011-10-01,2011Q4,184006,228165.40,175500.00,1483.00,73206100.00,51814.3333333333333333333333,31703.3333333333333333333333,104046.6666666666666666666667,96542.0000000000000000000000,35655642000.000000000000000000,6754647000.000000000000000000,33239770000.000000000000000000,0.373,1.893,58043000.000000000000000000,35357000.000000000000000000
2012-01-01,2012Q1,151627,226551.60,175000.00,1900.00,54959000.00,52418.3333333333333333333333,30298.3333333333333333333333,101740.0000000000000000000000,94024.6666666666666666666667,32076906000.000000000000000000,4895385000.000000000000000000,32678605000.000000000000000000,0.297,1.873,55838000.000000000000000000,36901000.000000000000000000
2012-04-01,2012Q2,157363,238406.67,180000.00,100.00,25533000.00,49698.0000000000000000000000,28248.3333333333333333333333,95130.0000000000000000000000,89924.6666666666666666666667,32450499000.000000000000000000,6371781000.000000000000000000,35475703000.000000000000000000,0.276,1.859,58713000.000000000000000000,34426000.000000000000000000
2012-07-01,2012Q3,178869,249353.70,185500.00,1000.00,27000000.00,48563.6666666666666666666667,26384.3333333333333333333333,90764.6666666666666666666667,84647.6666666666666666666667,34951000000.000000000000000000,7453000000.000000000000000000,31923000000.000000000000000000,0.260,1.810,63100000.000000000000000000,30130000.000000000000000000
2012-10-01,2012Q4,181099,237518.15,180000.00,400.00,20500000.00,53303.3333333333333333333333,28336.0000000000000000000000,96114.0000000000000000000000,88485.0000000000000000000000,34428135000.000000000000000000,5665464000.000000000000000000,32115540000.000000000000000000,0.303,1.735,62718000.000000000000000000,31042000.000000000000000000
